Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),NHO_X(15),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(48)
9.918261017404438e-25,0.041168933244172715,2.2255219467032732e-22,5.17504636560387e-50,2.254013842107852e-19,5.5221910766314516e-185,2.250148127831748e-22,3.20354847818543e-162,3.502303784381094e-131,7.579263357237293e-88,0.938,9.079236564136029e-107,3.382524768751838e-21,1.548045290538509e-74,2.4626181128473287e-24,7.41840648901091e-21,0.0,0.0,0.025844181683401902,0.01,0.05,1.6017458713109958e-126,1.1428017455987387e-137,0.002,3.9532088047733997e-193,2.9911487729908355e-145
1.9845139116492112e-24,0.041168933244172715,4.452977448529659e-22,2.071367202553741e-49,4.509985993374579e-19,1.4173394683383454e-182,4.502251206252406e-22,4.10725585951315e-160,2.2451155064937104e-129,1.214093382418109e-86,0.938,2.908849528842817e-105,6.7679883079369966e-21,1.2393775104279582e-73,4.927375772273829e-24,1.484325816176553e-20,0.0,0.0,0.025844181683401902,0.01,0.05,2.563986279240639e-125,7.322868313120866e-136,0.002,2.029288469223612e-190,9.576279984787952e-144
3.969889531466746e-24,0.041168933244172715,8.907888452182432e-22,8.288166893397323e-49,9.021930295907398e-19,3.6330794182617797e-180,9.006457363093725e-22,5.261588501700006e-158,1.4380401816349878e-127,1.9436790997443864e-85,0.938,9.313912315872168e-104,1.3538915386307315e-20,9.918786807693156e-73,9.856891091126254e-24,2.9692961507274775e-20,0.0,0.0,0.025844181683401902,0.01,0.05,4.103332356012995e-124,4.689497567311179e-134,0.002,1.0403412448436384e-187,3.065146221736395e-142
7.940640771101816e-24,0.041168933244172715,1.7817710459487976e-21,3.315806452341102e-48,1.8045818900970507e-18,9.306691230550952e-178,1.8014869676776385e-21,6.737586966514623e-156,9.207190566057392e-126,3.1107904510920784e-84,0.938,2.9813471211173386e-102,2.7080769543047954e-20,7.936536461467557e-72,1.9715921728828803e-23,5.939236819829323e-20,0.0,0.0,0.025844181683401902,0.01,0.05,6.566095220606268e-123,3.002194420504692e-132,0.002,5.32999456827442e-185,9.809646517418986e-141
1.5882143250371956e-23,0.041168933244172715,3.563735447409906e-21,1.3264305287993687e-47,3.609359611108659e-18,2.383281970208982e-175,3.60316943041418e-21,8.625873266202141e-154,5.893796362644011e-124,4.977987457628969e-83,0.938,9.541742392880788e-101,5.416447785652924e-20,6.349832045462546e-71,3.9433983004224686e-23,1.187911815803301e-19,0.0,0.0,0.0258441816834019,0.01,0.05,1.05063631252923e-121,1.921697408405164e-130,0.002,2.729839778418673e-182,3.1392754662236438e-139
3.1765148208912234e-23,0.041168933244172715,7.127664250332124e-21,5.30593802804521e-47,7.21891505312782e-18,6.102184803347149e-173,7.206534355887302e-21,1.1042243395421997e-151,3.7724111817038153e-122,7.965356581764687e-82,0.938,3.0535860448039276e-99,1.0833189448349184e-19,5.0801068089860516e-70,7.887010555497961e-23,2.3758880834440364e-19,0.0,0.0,0.025844181683401895,0.01,0.049999999999999996,1.6810669655234344e-120,1.2299798643271037e-128,0.002,1.397903587728481e-179,1.0045983242661441e-137
6.353115812599279e-23,0.041168933244172715,1.4255521856176554e-20,2.1224184021041257e-46,1.4438025937149923e-17,1.5622843332077103e-170,1.4413264206833682e-20,1.4134786420246151e-149,2.414464292652827e-120,1.2745026792501678e-80,0.938,9.7718370995452e-98,2.1666672773741708e-19,4.064181933564136e-69,1.5774235065634209e-22,4.751840618725498e-19,0.0,0.0,0.025844181683401888,0.01,0.04999999999999999,2.68974624902966e-119,7.872167360429805e-127,0.0019999999999999996,7.157840320568236e-177,3.2147629316631346e-136
1.270631779601539e-22,0.041168933244172715,2.8511237067865395e-20,8.489760051339543e-46,2.8876247705129256e-17,3.999603794489203e-168,2.8826723908727016e-20,1.8092969907002207e-147,1.5452946907219968e-118,2.0392391638792454e-79,0.938,3.127043305204136e-96,4.3333639424526793e-19,3.2513841655212356e-68,3.154868408584775e-22,9.50374568928839e-19,0.0,0.0,0.025844181683401874,0.01,0.049999999999999975,4.303625319595856e-118,5.038277991418655e-125,0.001999999999999999,3.6649573962730594e-174,1.0287318740650148e-134
2.5412721762847615e-22,0.041168933244172715,5.702266749124299e-20,3.395921357503087e-45,5.775269124082842e-17,1.0239164092704804e-165,5.765364331251594e-20,2.315924872412492e-145,9.889990527450882e-117,3.262805365428878e-78,0.938,1.0006611597976719e-94,8.666757272609709e-19,2.6011228177553708e-67,6.309758212603898e-22,1.900755583041403e-18,0.0,0.0,0.025844181683401843,0.01,0.04999999999999995,6.88582568921502e-117,3.224521985985859e-123,0.0019999999999999983,1.8764909569700813e-171,3.291954431402789e-133
5.082552969651206e-22,0.041168933244172715,1.1404552833799782e-19,1.3583720490470093e-44,1.1550557831118869e-16,2.621237996335801e-163,1.153074821201029e-19,2.964390325050211e-143,6.32960736862249e-115,5.220490111525787e-77,0.938,3.2021173641578815e-93,1.7333543932923827e-18,2.0809045087880515e-66,1.261953782054782e-21,3.801517611266478e-18,0.0,0.0,0.025844181683401784,0.01,0.04999999999999989,1.1017341632050735e-115,2.0636953602994817e-121,0.001999999999999996,9.607677883624306e-169,1.053427443969488e-131
1.0165114556384095e-21,0.041168933244172715,2.280912500315063e-19,5.433495517444342e-44,2.3101135244775723e-16,6.710329094715173e-161,2.306151597353133e-19,3.794399870523483e-141,4.0509273996387393e-113,8.352732165997109e-76,0.938,1.0246714014391308e-91,3.4667117253552275e-18,1.6647262055525382e-65,2.5239097036058357e-21,7.603041667716408e-18,0.0,0.0,0.025844181683401662,0.01,0.049999999999999774,1.762776427318221e-114,1.3207572338012638e-119,0.0019999999999999922,4.919101726591941e-166,3.3709712952469184e-130
2.0330237729849873e-21,0.041168933244172715,4.56182693418518e-19,2.1733999185554192e-43,4.620229007042861e-16,1.7178106796051836e-158,4.612305149658798e-19,4.856758019696497e-139,2.592553929270579e-111,1.3364159512002544e-74,0.938,3.2788975525678785e-90,6.933426389481002e-18,1.3317821585468527e-64,5.0478215465570154e-21,1.5206089780615397e-17,0.0,0.0,0.02584418168340142,0.009999999999999998,0.049999999999999545,2.820444092967054e-113,8.452716269803459e-118,0.0019999999999999844,2.518530934839161e-163,1.0787115195719697e-128
