Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),NHO_X(15),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
8.0736067597617885e-25,0.05954180215024143,2.178663317535317e-22,4.700337438934638e-45,2.206555312694697e-19,3.4298711846258897e-165,2.4617249839528083e-22,8.21874129441502e-145,2.389384472762235e-120,9.020530514136975e-81,0.938,3.285096779350467e-97,3.31130530761592e-21,1.386055835137983e-65,2.830616664174598e-23,7.262211058451013e-21,0.0,0.0,0.03737792143899724,0.01,0.05,4.104066718477662e-114,7.004277164815159e-121,0.002,4.123691142879565e-173
1.6154227947638055e-24,0.05954180215024143,4.35921947896076e-22,1.8813599188629072e-44,4.415027702115698e-19,8.803193838988279e-163,4.925588738525937e-22,1.0537213378434724e-142,1.5316901524666608e-118,1.4449645124262624e-79,0.938,1.052495220936194e-95,6.625487509504316e-21,1.1096874493965699e-64,5.663692595650517e-23,1.4530731596535694e-20,0.0,0.0,0.03737792143899724,0.01,0.05,6.569563213376667e-113,4.488215410476876e-119,0.002,2.114885319017764e-170
3.2315470323390584e-24,0.05954180215024143,8.720331801811647e-22,7.527890260233071e-44,8.831972480955822e-19,2.2565308917746387e-160,9.853316247672286e-22,1.3498667829227903e-140,9.810773877318837e-117,2.3132878037727624e-78,0.938,3.370008928854237e-94,1.3253851913281117e-20,8.880872161874652e-64,1.1329844458601422e-22,2.9067772672704815e-20,0.0,0.0,0.03737792143899724,0.01,0.05,1.0513746312424265e-111,2.8742121018128983e-117,0.002,1.0841010235565923e-167
6.463795507489564e-24,0.05954180215024143,1.744255644751342e-21,3.011646290871682e-43,1.766586203862857e-18,5.7804508580552e-158,1.9708771265965357e-21,1.728536054450797e-138,6.2814427359414835e-115,3.702336502208454e-77,0.938,1.0787268454800337e-92,2.651058072083476e-20,7.106047044494233e-63,2.2662148184499526e-22,5.814185482504204e-20,0.0,0.0,0.03737792143899724,0.01,0.05,1.6823950236707342e-110,1.8400573037058185e-115,0.002,5.554111413906611e-165
1.2928292457790576e-23,0.05954180215024143,3.488700573891697e-21,1.2047565606880453e-42,3.5333641153944036e-18,1.4802731701403283e-155,3.941968130255298e-21,2.2129784648899292e-136,4.020938729451339e-113,5.924599346626959e-76,0.938,3.452444371523854e-91,5.3024038335942185e-20,5.685377419262807e-62,4.532675563628087e-22,1.1629001912971253e-19,0.0,0.0,0.03737792143899724,0.01,0.05,2.691988528824073e-109,1.1778164036022132e-113,0.002,2.8446199050175697e-162
2.5857286358392602e-23,0.05954180215024143,6.977590432172406e-21,4.819222338426332e-42,7.066919938445487e-18,3.7901104008389236e-153,7.884150137573416e-21,2.832901942670449e-134,2.573661730659235e-111,9.480047730769375e-75,0.938,1.1048651567579885e-89,1.0605095356615763e-19,4.548517860422482e-61,9.065597053978412e-22,2.325863477390375e-19,0.0,0.0,0.037377921438997236,0.01,0.049999999999999996,4.307306838894112e-108,7.538600141888466e-112,0.002,1.4566803937618157e-159
5.1715274159596654e-23,0.05954180215024143,1.3955370148733824e-20,1.9277281552142825e-41,1.4134031584499614e-17,9.703462034812008e-151,1.5768514152212025e-20,3.626299756810238e-132,1.6472270028022658e-109,1.5168627301639282e-73,0.938,3.5357012146483465e-88,2.1210478402659085e-19,3.6389006606701167e-60,1.8131440034655292e-21,4.651790049576232e-19,0.0,0.0,0.03737792143899723,0.01,0.04999999999999999,6.891791096498674e-107,4.824888115600501e-110,0.0019999999999999996,7.458803704942644e-157
1.0343124976200475e-22,0.05954180215024143,2.791092958185663e-20,7.710991061328571e-41,2.826825487641572e-17,2.484184586303613e-148,3.1537242181498735e-20,4.6417821981544655e-130,1.0542519857522511e-107,2.4270244082092483e-72,0.938,1.1314456069847885e-86,4.242124449474666e-19,2.9111550779634867e-59,3.626312599591394e-21,9.303643193945383e-19,0.0,0.0,0.037377921438997215,0.01,0.049999999999999975,1.1026945877964706e-105,3.087987239245871e-108,0.001999999999999999,3.819058918590289e-154
2.0686320096682095e-22,0.05954180215024143,5.58220484481022e-20,3.0844121127641337e-40,5.653670145947932e-17,6.359630879604622e-146,6.307469824011011e-20,5.941556888864079e-128,6.747297966704072e-106,3.883274171698958e-71,0.938,3.620659787985139e-85,8.484277667892557e-19,2.3289378822872088e-58,7.252649791805085e-21,1.8607349482673426e-18,0.0,0.0,0.03737792143899719,0.01,0.04999999999999995,1.7643177504084556e-104,1.9763306074855357e-106,0.0019999999999999983,1.9553946314151116e-151
4.137271033764533e-22,0.05954180215024143,1.1164428618059313e-19,1.2337679828140534e-39,1.1307359462253208e-16,1.6280768150787188e-143,1.261496103574848e-19,7.605240809955253e-126,4.318297730428041e-104,6.213266405699923e-70,0.938,1.158616480917098e-83,1.6968584104729829e-18,1.8631558338999134e-57,1.4505324176080307e-20,3.7214762060088475e-18,0.0,0.0,0.037377921438997125,0.01,0.04999999999999989,2.822913528756833e-103,1.2648575245214164e-104,0.0019999999999999966,1.0011690290184943e-148
8.274549081957182e-22,0.05954180215024143,2.2328876164557404e-19,4.935078207119011e-39,2.261473809363398e-16,4.167871474817764e-141,2.522994345928415e-19,9.73473782467273e-124,2.7637188763869875e-102,9.941247269117947e-69,0.938,3.7075808709336215e-82,3.393719697841035e-18,1.4905268784878819e-56,2.901067294402211e-20,7.442958721475442e-18,0.0,0.0,0.03737792143899701,0.01,0.04999999999999978,4.516665748992842e-102,8.095106228433147e-103,0.0019999999999999927,5.125979150065871e-146
