Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(36)
6.6935828481277996e-21,0.048764219312884285,1.6346351073976316e-18,6.4276984384699425e-40,1.6555622657521004e-15,2.541601718114664e-171,1.6973462075145283e-18,0.938,6.88481037728757e-93,4.968896170028741e-16,1.1389492047080628e-58,6.271110001737678e-20,6.810979614115721e-17,0.0,0.0,0.030612193327834936,0.009999999999999752,0.04999999999999835,4.979082104707645e-105,2.88846398515144e-116,0.0019999999999999307,1.7656766070288493e-175,6.823685371910967e-120
1.3387166405533236e-20,0.048764219312884285,3.269270388007058e-18,2.5710797355169006e-39,3.3111247048622743e-15,1.3012104283818164e-168,3.3946925949854643e-18,0.938,2.2031399953381273e-91,9.93779286658059e-16,9.111595923526577e-58,1.2542220658032667e-19,1.3621959949865098e-16,0.0,0.0,0.03061219332783271,0.009999999999999504,0.04999999999999669,7.966533343898536e-104,1.8486175187709847e-114,0.001999999999999861,1.8079283439285008e-172,2.183579858221634e-118
2.6774333520344107e-20,0.048764219312884285,6.538540949224732e-18,1.0284320597112789e-38,6.622249576867718e-15,1.646946034671119e-165,6.789385370224672e-18,0.938,7.0500507104115725e-90,1.987558625968389e-15,7.289279382426775e-57,2.5084441940762196e-19,2.7243920621112483e-16,0.0,0.0,0.030612193327828264,0.009999999999999008,0.04999999999999338,7.966533343898499e-104,1.1831156679055828e-112,0.001999999999999721,4.57393919610154e-169,6.4142658672198e-118
5.3548667749965853e-20,0.048764219312884285,1.3077082071655369e-17,4.113729317684011e-38,1.3244499296018988e-14,8.439836971385425e-163,1.3578770921892439e-17,0.938,2.2560177167990004e-88,3.97511730458889e-15,5.831427330201423e-56,5.016888438677945e-19,5.448784196260179e-16,0.0,0.0,0.030612193327819368,0.009999999999998014,0.04999999999998676,7.966533343899212e-104,7.57194524122059e-111,0.0019999999999994423,4.690585708308437e-166,1.4875637885188913e-117
1.0709733620920933e-19,0.048764219312884285,2.6154164316497803e-17,1.6454925411052704e-37,2.648899863488306e-14,4.318818369450671e-160,2.715754202998537e-17,0.938,7.21926581876116e-87,7.95023466182926e-15,4.6651478207759445e-55,1.003377688010467e-18,1.089756846415585e-15,0.0,0.0,0.030612193327801577,0.009999999999996026,0.04999999999997352,7.966533343906826e-104,4.846051033648987e-109,0.001999999999998884,4.80052580681389e-163,3.1798381921030325e-117
1.6064600466845283e-19,0.048764219312884285,3.923124656132139e-17,3.496673006159293e-37,3.973349787430865e-14,2.462953356966606e-159,4.07363131428357e-17,0.938,3.377335134098536e-86,1.1925352019068996e-14,1.3339418217794708e-54,1.5050665273754671e-18,1.634635273164934e-15,0.0,0.0,0.030612193327783786,0.009999999999994038,0.04999999999996027,4.589540337835982e-100,2.716273649041954e-108,0.001999999999998326,3.215041053457535e-162,9.75241617813581e-114
2.677433415869398e-19,0.048764219312884285,6.53854110508932e-17,9.667281546983155e-37,6.622249595540597e-14,7.756422988622879e-157,6.789385538756595e-17,0.938,4.9328050335627326e-85,1.9875586733545934e-14,6.130316714976213e-54,2.5084441869947785e-18,2.724392126502756e-15,0.0,0.0,0.030612193327748203,0.009999999999990064,0.04999999999993378,4.589540337835801e-100,6.790604841682018e-107,0.00199999999999721,1.7258402297825886e-159,2.925088885775785e-113
3.6413094481357805e-19,0.048764219312884285,8.892415909144693e-17,1.7214575909926182e-36,9.006259390710535e-14,6.611751965430727e-156,9.233564342319443e-17,0.938,1.7661169227982552e-84,2.703079797657313e-14,1.3799304158218658e-53,3.4114840652153807e-18,3.7051732943768484e-15,0.0,0.0,0.030612193327716176,0.009999999999986487,0.049999999999909936,-5.294722966930292e-100,2.7739748497488574e-106,0.0019999999999962058,1.5539887177203448e-158,-2.7854607603221064e-113
4.605185480402164e-19,0.048764219312884285,1.1246290713193624e-16,2.6872214606778063e-36,1.139026915187278e-13,2.3475303463599004e-155,1.167774314750931e-16,0.938,4.667054752505423e-84,3.418600921959816e-14,2.608162447379412e-53,4.31452392709647e-18,4.6859544621133934e-15,0.0,0.0,0.03061219332768415,0.00999999999998291,0.049999999999886094,8.742140325151681e-99,8.620113690988541e-106,0.0019999999999952014,6.549414504847326e-158,3.4995123624745763e-112
5.569061512668547e-19,0.048764219312884285,1.3600165517236464e-16,3.8523301499309834e-36,1.377427888091115e-13,9.534458362160103e-155,1.4121921954236064e-16,0.938,1.0572938762465408e-83,4.1341220462621147e-14,4.359451615627743e-53,5.217563773543157e-18,5.666735629720011e-15,0.0,0.0,0.030612193327652124,0.009999999999979333,0.04999999999986225,1.870728121494954e-98,2.175875546400936e-105,0.001999999999994197,2.6990071686351083e-157,1.0845585302992793e-111
7.496813577201313e-19,0.048764219312884285,1.8307915125308266e-16,6.637151285385342e-36,1.854229826573e-13,1.1558758144711828e-153,1.9010279571194422e-16,0.938,3.6954156544079785e-83,5.565164294866243e-14,9.306960528563754e-53,7.023643431238663e-18,7.628297964636948e-15,0.0,0.0,0.030612193327588074,0.009999999999972177,0.04999999999981457,2.4637096868430064e-98,8.641929199846486e-105,0.001999999999992188,3.3314209280753466e-156,2.723366842185115e-111
