Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
7.896143181953557e-25,0.05954180215024143,2.1307747593389574e-22,4.49597494158963e-45,2.1580536687486322e-19,1.3741813462865043e-186,2.4076145304427995e-22,1.4696358278243171e-161,4.385751960122526e-137,0.938,1.02273370811861e-99,3.2385204786552576e-21,1.2966506817569279e-65,2.768397711038117e-23,7.102582531129816e-21,0.0,0.0,0.03737792143899724,0.01,0.05,3.754949511801843e-114,2.132675114581645e-123,0.002,1.6126014281984058e-194
1.5799146609938351e-24,0.05954180215024143,4.263400756522692e-22,1.7995616615210237e-44,4.317982275523381e-19,7.054520152114303e-184,4.817320819817377e-22,3.76862366343743e-159,5.623209192990353e-135,0.938,3.276788374302504e-98,6.479854615415344e-21,1.0381089645309418e-64,5.539200632945649e-23,1.4211335855075482e-20,0.0,0.0,0.03737792143899724,0.01,0.05,6.010715681047766e-113,1.3666243462025575e-121,0.002,1.6556997784437604e-191
3.1605153465907938e-24,0.05954180215024143,8.528652750890162e-22,7.200590683701051e-44,8.637839489071084e-19,3.6167125994471163e-181,9.636733398566622e-22,9.655820738443516e-157,7.20375994970118e-133,0.938,1.0492192367681121e-96,1.2962522888935528e-20,8.30802674132124e-64,1.1080806476759828e-22,2.8428842502966566e-20,0.0,0.0,0.03737792143899724,0.01,0.05,9.619382259382256e-112,8.751879254729148e-120,0.002,1.6976910940222622e-188
6.3217167177847115e-24,0.05954180215024143,1.7059156739625103e-21,2.8807051477901866e-43,1.7277553916159313e-18,1.8529861913462658e-178,1.927555855606546e-21,2.4729331091591085e-154,9.224688151322666e-131,0.938,3.358537069505777e-95,2.592785943597593e-20,6.647683672802866e-63,2.2164018164384633e-22,5.686385579874777e-20,0.0,0.0,0.03737792143899724,0.01,0.05,1.539280135078627e-110,5.6029580903039366e-118,0.002,1.7395909182466128e-185
1.2644119460172547e-23,0.05954180215024143,3.412016471709498e-21,1.152375840658036e-42,3.4556982770307046e-18,9.490437081849852e-176,3.8553208871064564e-21,6.332044150195433e-152,1.1810081745963977e-128,0.938,1.0748975745967993e-93,5.185853253005688e-20,5.318651904090213e-62,4.433044153962002e-22,1.1373388239030638e-19,0.0,0.0,0.03737792143899724,0.01,0.05,2.4629913949919075e-109,3.586455002032544e-116,0.002,1.781932708847671e-182
2.5288924944948218e-23,0.05954180215024143,6.824218067203474e-21,4.609690932407043e-42,6.911584047848765e-18,4.8599091051158874e-173,7.710850950106847e-21,1.621174254910106e-149,1.5118492625533354e-126,0.938,3.439937402854078e-92,1.0371987871821932e-19,4.255123520411629e-61,8.866328829003395e-22,2.2747393557340826e-19,0.0,0.0,0.037377921438997236,0.01,0.05,3.9409007750932455e-108,2.2955110021366026e-114,0.002,1.825001805107652e-179
5.057853591449956e-23,0.05954180215024143,1.3648621258191425e-20,1.8439138875956684e-41,1.3823355589438936e-17,2.4884789445875946e-170,1.5421911076109896e-20,4.1504249260975963e-147,1.9352686940988524e-124,0.938,1.100822397130972e-90,2.074425710945465e-19,3.404179617361783e-60,1.773289817906344e-21,4.549540419395506e-19,0.0,0.0,0.03737792143899723,0.01,0.049999999999999996,6.305532874676757e-107,1.4691845803735359e-112,0.0019999999999999996,1.8689563269740513e-176
1.0115775785360225e-22,0.05954180215024143,2.7297427640167305e-20,7.375730580396432e-41,2.7646898672435474e-17,1.2741531083092513e-167,3.084403132812507e-20,1.0625367926996534e-144,2.4772089789224225e-122,0.938,3.522699557559093e-89,4.148879558472096e-19,2.7233760147643768e-59,3.546603687909257e-21,9.099142546715902e-19,0.0,0.0,0.037377921438997215,0.01,0.04999999999999998,1.0088925907241197e-105,9.402965443666352e-111,0.001999999999999999,1.9138892985200226e-173
2.0231620173180762e-22,0.05954180215024143,5.459504040411901e-20,2.950307238292281e-40,5.529398483769337e-17,6.523789403750562e-165,6.168827183219173e-20,2.720130044811393e-142,3.170869126049805e-120,0.938,1.1272747204425795e-87,8.297787253525718e-19,2.1787137402964665e-58,7.093231427878696e-21,1.8198346801346885e-18,0.0,0.0,0.03737792143899719,0.01,0.049999999999999954,1.6142340098228906e-104,6.017956806122676e-109,0.0019999999999999983,1.9598603820404162e-170
4.0463308948821836e-22,0.05954180215024143,1.0919026593202224e-19,1.1801258966016698e-39,1.105881571652684e-16,3.3402047746604037e-162,1.2337675284047034e-19,6.963578810338984e-140,4.058739126818936e-118,0.938,3.6072964848851246e-86,1.659560264363439e-18,1.7429761637263063e-57,1.4186486907672032e-20,3.63967553105696e-18,0.0,0.0,0.03737792143899713,0.01,0.0499999999999999,2.582779107587676e-103,3.851511211265765e-107,0.0019999999999999966,2.0069118350190386e-167
8.092668650010398e-22,0.05954180215024143,2.183807169878277e-19,4.7205095893935694e-39,2.2117650180865538e-16,1.7101834359752727e-159,2.4675371485760855e-19,1.7826820502153807e-137,5.195203135808095e-116,0.938,1.1543376559701968e-84,3.319123342385745e-18,1.3943829997047657e-56,2.837299786667652e-20,7.279357232885801e-18,0.0,0.0,0.037377921438997014,0.01,0.04999999999999979,4.132450326083873e-102,2.4649732091169748e-105,0.0019999999999999927,2.055076042780917e-164
1.6185344160266828e-21,0.05954180215024143,4.367616190994353e-19,1.8882050366840318e-38,4.42353191048377e-16,8.756056675326124e-157,4.935076388942093e-19,4.563673568807748e-135,6.649870928867905e-114,0.938,3.6938849489394475e-83,6.638249498432643e-18,1.1155072274533775e-55,5.674601978235682e-20,1.4558720636480677e-17,0.0,0.0,0.037377921438996785,0.009999999999999998,0.049999999999999566,6.611923526318691e-101,1.5775847849155942e-103,0.0019999999999999853,2.1043780538860606e-161
3.237069518077969e-21,0.05954180215024143,8.735234233226365e-19,7.552822551218466e-38,8.847065693396112e-16,4.48299909219968e-154,9.87015486976708e-19,1.1683013964836008e-132,8.511841776587096e-112,0.938,1.1820438959785748e-81,1.3276501810535587e-17,8.924061133576827e-55,1.134920636044026e-19,2.911744744341921e-17,0.0,0.0,0.03737792143899632,0.009999999999999995,0.04999999999999912,1.0579080050352254e-99,1.0096548805836794e-101,0.00199999999999997,2.1548341628444317e-158
6.4741397221805406e-21,0.05954180215024143,1.747047031768983e-18,3.0211295034866913e-37,1.7694133251692421e-15,2.295186708728902e-151,1.9740311831788932e-18,2.990852808878802e-130,1.0895161951260357e-109,0.938,3.782541609041333e-80,2.6553006434778057e-17,7.139250237545929e-54,2.269841512112348e-19,5.823490105629144e-17,0.0,0.0,0.03737792143899539,0.009999999999999988,0.04999999999999823,1.6926530021796724e-98,6.46179321782692e-100,0.00199999999999994,2.206445617131645e-155
1.2948280130385684e-20,0.05954180215024143,3.494094248661453e-18,1.2084518996767616e-36,3.5388268338171572e-15,1.1750230303959453e-148,3.948062575732016e-18,7.656584777306868e-128,1.394581017619748e-107,0.938,1.2104134990073319e-78,5.3106015683409336e-17,5.711400730477419e-53,4.539683262758624e-19,1.164698082780165e-16,0.0,0.0,0.03737792143899353,0.009999999999999974,0.049999999999996464,2.7082449634706835e-97,4.135548298452998e-98,0.0019999999999998803,2.2591839941416247e-152
2.589656094679597e-20,0.05954180215024143,6.9881886824455e-18,4.8338078087289555e-36,7.0776538390675974e-15,1.4871499561594002e-145,7.89612536143327e-18,1.9600859077998175e-125,1.7850638883554145e-105,0.938,3.87332349880356e-77,1.062120341812572e-16,4.569120813625143e-52,9.079366758089696e-19,2.32939622705389e-16,0.0,0.0,0.03737792143898981,0.009999999999999948,0.049999999999992925,2.708244963470678e-97,2.646751120527624e-96,0.00199999999999976,5.7152775256054094e-149
5.179312257961655e-20,0.05954180215024143,1.3976377550010025e-17,1.9335231762621536e-35,1.415530780138692e-14,7.6201341054063e-143,1.579225093521582e-17,5.0178202023849206e-123,2.2848819034342556e-103,0.938,1.2394635734282683e-75,2.1242407117929421e-16,3.65529676350449e-51,1.8158733724905924e-18,4.658792514958234e-16,0.0,0.0,0.03737792143898238,0.009999999999999894,0.04999999999998585,2.70824496347072e-97,1.6939207916250932e-94,0.0019999999999995204,5.8603993632338224e-146
1.035862458452577e-19,0.05954180215024143,2.795275528512478e-17,7.73409289671926e-35,2.831061553329934e-14,3.898521804825309e-140,3.15845020923011e-17,1.2845620151769784e-120,2.9246489348821954e-101,0.938,3.966283555480038e-74,4.248481451847335e-16,2.9242374892966834e-50,3.631746756315474e-18,9.3175850881945e-16,0.0,0.0,0.03737792143896752,0.009999999999999789,0.04999999999997169,2.708244963466994e-97,1.0841093398092948e-92,0.0019999999999990407,5.996467191804579e-143
1.5537936911089884e-19,0.05954180215024143,4.1929133020225263e-17,1.643494764734037e-34,4.2465923072485535e-14,2.2230998783166793e-139,4.737675325890653e-17,9.753044430171754e-120,1.9356375631539198e-100,0.938,1.855515777010956e-73,6.372722191995379e-16,8.361491678494563e-50,5.4476201306019884e-18,1.397637765885834e-15,0.0,0.0,0.03737792143895265,0.009999999999999683,0.04999999999995754,1.5602200872786825e-93,6.076568877268527e-92,0.001999999999998561,4.015740792129377e-142
